path,label,label_name,category
G:\CodexProjects\New project 3\data\Ai_generated_dataset\animals\image-10.png,1,ai,animals
G:\CodexProjects\New project 3\data\Ai_generated_dataset\animals\image-11.png,1,ai,animals
G:\CodexProjects\New project 3\data\Ai_generated_dataset\animals\image-12.png,1,ai,animals
G:\CodexProjects\New project 3\data\Ai_generated_dataset\animals\image-13.png,1,ai,animals
G:\CodexProjects\New project 3\data\Ai_generated_dataset\animals\image-14.png,1,ai,animals
G:\CodexProjects\New project 3\data\Ai_generated_dataset\animals\image-15.png,1,ai,animals
G:\CodexProjects\New project 3\data\Ai_generated_dataset\animals\image-16.png,1,ai,animals
G:\CodexProjects\New project 3\data\Ai_generated_dataset\animals\image-17.png,1,ai,animals
G:\CodexProjects\New project 3\data\Ai_generated_dataset\animals\image-18.png,1,ai,animals
G:\CodexProjects\New project 3\data\Ai_generated_dataset\animals\image-19.png,1,ai,animals
G:\CodexProjects\New project 3\data\Ai_generated_dataset\animals\image-2.png,1,ai,animals
G:\CodexProjects\New project 3\data\Ai_generated_dataset\animals\image-20.png,1,ai,animals
G:\CodexProjects\New project 3\data\Ai_generated_dataset\animals\image-21.png,1,ai,animals
G:\CodexProjects\New project 3\data\Ai_generated_dataset\animals\image-22.png,1,ai,animals
G:\CodexProjects\New project 3\data\Ai_generated_dataset\animals\image-23.png,1,ai,animals
G:\CodexProjects\New project 3\data\Ai_generated_dataset\animals\image-24.png,1,ai,animals
G:\CodexProjects\New project 3\data\Ai_generated_dataset\animals\image-25.png,1,ai,animals
G:\CodexProjects\New project 3\data\Ai_generated_dataset\animals\image-26.png,1,ai,animals
G:\CodexProjects\New project 3\data\Ai_generated_dataset\animals\image-27.png,1,ai,animals
G:\CodexProjects\New project 3\data\Ai_generated_dataset\animals\image-28.png,1,ai,animals
G:\CodexProjects\New project 3\data\Ai_generated_dataset\animals\image-29.png,1,ai,animals
G:\CodexProjects\New project 3\data\Ai_generated_dataset\animals\image-3.png,1,ai,animals
G:\CodexProjects\New project 3\data\Ai_generated_dataset\animals\image-30.png,1,ai,animals
G:\CodexProjects\New project 3\data\Ai_generated_dataset\animals\image-31.png,1,ai,animals
G:\CodexProjects\New project 3\data\Ai_generated_dataset\animals\image-32.png,1,ai,animals
G:\CodexProjects\New project 3\data\Ai_generated_dataset\animals\image-33.png,1,ai,animals
G:\CodexProjects\New project 3\data\Ai_generated_dataset\animals\image-34.png,1,ai,animals
G:\CodexProjects\New project 3\data\Ai_generated_dataset\animals\image-35.png,1,ai,animals
G:\CodexProjects\New project 3\data\Ai_generated_dataset\animals\image-36.png,1,ai,animals
G:\CodexProjects\New project 3\data\Ai_generated_dataset\animals\image-37.png,1,ai,animals
G:\CodexProjects\New project 3\data\Ai_generated_dataset\animals\image-38.png,1,ai,animals
G:\CodexProjects\New project 3\data\Ai_generated_dataset\animals\image-39.png,1,ai,animals
G:\CodexProjects\New project 3\data\Ai_generated_dataset\animals\image-4.png,1,ai,animals
G:\CodexProjects\New project 3\data\Ai_generated_dataset\animals\image-40.png,1,ai,animals
G:\CodexProjects\New project 3\data\Ai_generated_dataset\animals\image-41.png,1,ai,animals
G:\CodexProjects\New project 3\data\Ai_generated_dataset\animals\image-42.png,1,ai,animals
G:\CodexProjects\New project 3\data\Ai_generated_dataset\animals\image-43.png,1,ai,animals
G:\CodexProjects\New project 3\data\Ai_generated_dataset\animals\image-44.png,1,ai,animals
G:\CodexProjects\New project 3\data\Ai_generated_dataset\animals\image-45.png,1,ai,animals
G:\CodexProjects\New project 3\data\Ai_generated_dataset\animals\image-46.png,1,ai,animals
G:\CodexProjects\New project 3\data\Ai_generated_dataset\animals\image-47.png,1,ai,animals
G:\CodexProjects\New project 3\data\Ai_generated_dataset\animals\image-48.png,1,ai,animals
G:\CodexProjects\New project 3\data\Ai_generated_dataset\animals\image-49.png,1,ai,animals
G:\CodexProjects\New project 3\data\Ai_generated_dataset\animals\image-5.png,1,ai,animals
G:\CodexProjects\New project 3\data\Ai_generated_dataset\animals\image-50.png,1,ai,animals
G:\CodexProjects\New project 3\data\Ai_generated_dataset\animals\image-6.png,1,ai,animals
